,x,y,label
98,-19.226969,26.900167,was
99,10.442463,-13.291242,a
100,28.749569,-3.2979548,big
101,-72.887764,-23.107388,","
102,28.822386,-2.5785904,beef
103,28.807129,-2.5520177,##y
104,0.22591631,37.039936,man
105,4.6352854,-5.5258484,with
106,3.461177,-12.053101,hardly
107,3.5590456,-11.976276,any
108,20.476475,15.089798,neck
109,-57.707886,-50.018444,","
110,-52.65215,-8.991907,although
111,-5.354608,42.89948,he
112,-32.443653,22.083904,did
113,-9.413427,6.297301,have
114,10.527142,-13.4394245,a
115,-6.3836527,-35.29555,very
116,29.559055,-4.082564,large
117,20.491142,16.080082,mustache
118,-65.343285,31.04444,.
119,37.387142,55.04344,mrs
120,-60.206257,52.177967,.
121,30.805004,-71.42082,du
122,41.638966,-64.05113,##rs
123,-57.10019,37.616116,##l
124,1.2155464,-73.54825,[SEP]
125,8.965303,78.087326,[CLS]
126,5.1558113,69.19563,e
127,6.3874955,13.159453,##y
128,-17.973383,27.040537,was
129,28.144985,-1.780423,thin
130,-59.51616,7.113602,and
131,30.39466,0.68257916,blonde
132,-59.26555,5.9966307,and
133,-17.931612,26.95332,had
134,-6.3223367,-22.803432,nearly
135,-5.822405,-22.173428,twice
136,54.49675,-6.4724646,the
137,22.859287,32.927246,usual
138,20.092772,-3.6658604,amount
139,20.084644,-3.7505913,of
140,20.421255,14.965103,neck
141,-56.01789,-51.798958,","
142,-37.34553,-3.6261592,which
143,-36.610634,-3.4571729,came
144,-36.50021,-3.4456444,in
145,-6.819764,-34.791653,very
146,-36.690567,-3.4779062,useful
147,-47.081295,-4.702017,as
148,26.547318,49.060875,she
149,-16.46733,34.212677,spent
150,-43.48811,-14.834273,so
151,-16.474642,34.154755,much
152,-16.451227,34.077187,of
153,26.43668,48.998096,her
154,-16.397774,34.268803,time
155,10.497714,6.165307,cr
156,10.479573,6.1621203,##ani
157,10.723267,6.2240033,##ng
158,11.141937,6.207914,over
159,42.642883,28.294088,garden
160,43.647835,26.710331,fences
161,-67.27425,-28.42406,","
162,10.758745,6.254683,spying
163,10.86161,6.358009,on
164,54.471443,6.225279,the
165,44.353188,28.345074,neighbors
166,-27.54375,-73.1414,.
167,51.91569,9.593013,the
168,31.11319,-71.921455,du
169,41.811993,-62.989536,##rs
170,56.663624,-33.548416,##ley
171,56.68978,18.438007,##s
172,-17.089077,20.353127,had
173,9.542848,-11.758807,a
174,7.236264,45.038338,small
175,3.8785648,43.962437,son
176,-6.5901594,33.00016,called
177,-28.094389,69.2538,dudley
178,-58.8239,1.1695077,and
179,26.476692,-33.536724,in
180,-8.398602,24.56475,their
181,-32.052544,9.247088,opinion
182,-26.60482,19.649616,there
183,-26.63043,19.725471,was
184,-26.972406,19.36342,no
185,-0.05070732,11.080869,finer
186,4.757452,44.12689,boy
187,-26.881428,19.285856,anywhere
188,-27.53949,-73.14417,.
189,51.81838,9.463981,the
190,31.216623,-71.90777,du
191,41.833164,-62.959225,##rs
192,56.654926,-33.497635,##ley
193,56.637764,18.37826,##s
194,-17.11332,20.48621,had
195,-9.31302,-9.660167,everything
196,-8.414915,24.410763,they
197,-5.9074025,7.8348026,wanted
198,-59.142822,-47.67621,","
199,-55.719006,-8.170253,but
200,-8.354762,24.402641,they
201,-16.9614,20.789902,also
202,-17.098661,20.512049,had
203,-6.4963098,-12.891548,a
204,-6.4535127,-12.79389,secret
205,-64.13349,-34.03727,","
206,-57.141724,3.014805,and
207,-8.341327,24.526464,their
208,-8.003475,-7.2531486,greatest
209,-7.922703,-7.180457,fear
210,-24.373734,23.41047,was
211,-22.883465,-18.645334,that
212,-7.1301327,16.585022,somebody
213,-41.209206,31.64806,would
214,-8.504672,0.33919472,discover
215,-6.5105124,-12.864742,it
216,-63.82309,29.65029,.
217,-8.311591,24.447805,they
218,-32.913517,25.395807,didn
219,-27.44377,-73.16912,'
220,-40.14175,24.225056,t
221,-32.21659,9.268261,think
222,-8.286896,24.451683,they
223,-38.276184,30.422607,could
224,-18.664637,-11.640347,bear
225,-21.511599,-10.578825,it
226,-37.812004,0.1170931,if
227,-7.4492865,16.709097,anyone
228,-16.8093,-12.5080385,found
229,-16.74555,-12.618558,out
230,-15.5325165,-13.995655,about
231,51.60562,8.640848,the
232,-8.913561,68.965324,potter
233,56.023914,18.084145,##s
234,-64.67662,30.754198,.
235,37.255978,55.048504,mrs
236,-60.18881,52.366283,.
237,-9.31847,69.105194,potter
238,-19.083647,27.82691,was
239,37.107014,54.80273,mrs
240,-60.37535,52.259403,.
241,30.781792,-71.76195,du
242,41.62729,-64.06387,##rs
243,-56.748554,37.305157,##l
244,1.0069188,-73.5933,[SEP]
245,9.872449,77.11239,[CLS]
246,5.1282873,69.22416,e
247,6.3805976,13.129964,##y
248,13.810237,55.716232,'
249,13.800216,55.771156,s
250,25.836864,55.436012,sister
251,-63.067158,-31.609875,","
252,-55.294773,-7.556603,but
253,-8.1032915,26.066153,they
254,-35.18927,36.163685,hadn
255,-25.080654,-72.79804,'
256,-39.873505,22.321222,t
257,-7.5860004,6.348248,met
258,-16.928968,-1.4605497,for
259,-17.933706,-1.8444251,several
260,-17.740618,-2.4761894,years
261,-68.79663,-10.03998,;
262,26.729061,-33.67046,in
263,-54.312267,-3.4172897,fact
264,-60.312817,-47.15391,","
265,37.59961,55.98474,mrs
266,-59.46273,52.756783,.
267,31.035166,-71.33685,du
268,41.69325,-62.524147,##rs
269,55.73924,-34.38499,##ley
270,-23.473433,35.92131,pretended
271,26.149895,49.417942,she
272,-33.75806,24.450726,didn
273,-24.961193,-72.823586,'
274,-40.418858,22.074453,t
275,-9.8451805,6.893599,have
276,9.170881,-11.498935,a
277,25.836006,55.442894,sister
278,-59.829166,-46.404644,","
279,-50.522335,-2.9868548,because
280,25.51934,50.031315,her
281,25.933226,55.483955,sister
282,-55.37033,10.194145,and
283,25.394636,50.079815,her
284,-11.744803,-21.661654,good
285,24.415438,-55.308434,-
286,-11.748475,-21.66238,for
287,24.409163,-55.33023,-
288,-11.255625,-11.699766,nothing
289,-5.9742637,40.896687,husband
290,-15.598613,22.51214,were
291,-43.28772,-10.688306,as
292,0.6394143,-7.7846,und
293,40.7703,-62.958813,##urs
294,53.960163,-32.64976,##ley
295,3.5666947,5.620018,##ish
296,-43.327976,-8.604639,as
297,-25.30862,16.30084,it
298,-25.332235,16.453337,was
299,-25.24164,15.920798,possible
300,-22.385798,6.8902063,to
301,-23.524654,1.2926708,be
302,-25.778835,-72.76121,.
303,52.530716,9.70979,the
304,31.337858,-71.94747,du
305,41.65777,-62.53522,##rs
306,56.802166,-33.43833,##ley
307,57.10783,18.126196,##s
308,-29.331892,31.007036,shuddered
309,-22.243736,10.456447,to
310,-12.754083,13.612176,think
311,-13.875801,-18.280188,what
312,54.18481,6.4821744,the
313,44.38666,28.407719,neighbors
314,-41.126545,31.974281,would
315,-9.9379835,-4.2126784,say
316,-37.695404,0.022617266,if
317,50.99084,8.36307,the
318,-8.700269,68.88308,potter
319,55.56762,17.424543,##s
320,2.2829742,24.092638,arrived
321,19.095179,8.223199,in
322,58.50153,0.4649049,the
323,40.564095,25.396662,street
324,-25.800087,-72.76765,.
325,51.974396,9.480751,the
326,31.337227,-71.92841,du
327,41.645588,-62.529682,##rs
328,56.796448,-33.412075,##ley
329,56.63868,18.160997,##s
330,-16.13723,20.155489,knew
331,-23.774857,-19.21916,that
332,51.64993,9.258256,the
333,-8.755673,68.90294,potter
334,56.272087,18.013666,##s
335,-17.078482,20.30223,had
336,9.549678,-11.766238,a
337,7.214502,45.039318,small
338,3.8883023,43.962223,son
339,-57.826763,-36.149548,","
340,-54.5798,17.15352,too
341,-56.56332,-51.650017,","
342,-55.6535,-7.789476,but
343,-7.861603,24.448421,they
344,-32.554882,38.835026,had
345,-38.234047,13.014464,never
346,-39.926594,12.259195,even
347,-7.4640217,5.784401,seen
348,2.0196724,44.32137,him
349,-64.06822,31.358492,.
350,2.2650552,44.23085,this
351,4.5440755,44.26129,boy
352,-23.301117,24.316423,was
353,-25.83355,3.1294165,another
354,-25.731052,3.0783305,good
355,-26.412294,2.6482236,reason
356,-26.023262,2.8199449,for
357,0.31357986,-0.9427738,keeping
358,51.527664,8.449569,the
359,-8.646482,68.842285,potter
360,55.582306,17.562357,##s
361,0.37991354,-1.0251396,away
362,-68.6723,-10.04139,;
363,-8.062134,24.321913,they
364,-32.962788,25.362988,didn
365,-25.188921,-72.787704,'
366,-40.172173,24.40819,t
367,-35.504547,-15.783258,want
368,-28.060513,69.24991,dudley
369,3.5298412,4.855557,mixing
370,2.2924008,-3.9370868,with
371,9.547507,-10.090313,a
372,4.892684,44.428894,child
373,-0.3222905,-16.231434,like
374,7.2535777,10.510859,t
375,-0.45098093,-74.643196,[SEP]
376,10.264546,75.13412,[CLS]
377,6.55066,64.21831,hat
378,-68.82198,28.318493,.
379,-41.961655,3.1247292,when
380,41.31466,53.328022,mr
381,-59.731445,51.216824,.
382,-55.51038,11.956399,and
383,38.363625,55.008934,mrs
384,-59.656574,51.384674,.
385,31.37364,-70.81927,du
386,41.825665,-62.13992,##rs
387,56.801235,-34.898613,##ley
388,15.317631,36.00351,woke
389,15.337244,36.04427,up
390,12.23255,13.188848,on
391,52.06483,-1.8414713,the
392,32.336388,-13.598901,dull
393,-72.716736,-23.37126,","
394,32.354046,-13.692563,gray
395,21.27259,34.78271,tuesday
396,-29.84327,-20.514612,our
397,-29.7159,-20.454659,story
398,-29.691689,-20.43619,starts
399,-55.799988,-52.59363,","
400,-25.683628,20.422756,there
401,-25.661837,20.532494,was
402,-10.813713,-11.572023,nothing
403,33.884804,-12.969327,about
404,56.608112,-1.2767227,the
405,32.487144,-14.542036,cloudy
406,32.583836,-15.043072,sky
407,59.15037,13.370202,outside
408,-22.227997,6.7778945,to
409,-21.915627,-19.011648,suggest
410,-23.016298,-18.58143,that
411,-3.7048602,-11.435974,strange
412,-60.0693,8.11913,and
413,-3.7150552,-11.282488,mysterious
414,-5.080957,-11.663983,things
415,-40.697327,32.32317,would
416,-24.823868,-0.17021517,soon
417,-24.58198,-0.070643604,be
418,-5.163557,-11.173533,happening
419,-7.9577894,-19.99156,all
420,-8.297804,-20.028921,over
421,60.7159,-2.6566455,the
422,47.022144,11.872235,country
423,-37.079136,-70.1887,.
424,41.670197,53.42525,mr
425,-57.973053,52.03304,.
426,31.702374,-70.73857,du
427,41.934303,-62.131775,##rs
428,56.416042,-35.226326,##ley
429,18.925041,-34.423058,hummed
430,-45.63646,-2.4646635,as
431,-7.0366735,42.558605,he
432,26.381437,6.8272095,picked
433,26.373138,6.8339586,out
434,-2.0736625,51.192303,his
435,27.419739,14.468652,most
436,27.273016,14.429591,boring
437,26.631311,14.375016,tie
438,-1.6445166,7.039429,for
439,34.665493,36.366386,work
440,-59.514355,-46.92264,","
441,-58.05076,3.1545641,and
442,37.697998,55.971138,mrs
443,-58.798603,52.662422,.
444,31.842422,-70.690414,du
445,41.92913,-62.098454,##rs
446,56.376347,-35.10411,##ley
447,19.11545,-34.76962,gossip
448,19.13849,-34.85092,##ed
449,2.6056519,19.835482,away
450,19.133047,-34.822266,happily
451,-45.631744,-2.5343783,as
452,26.32224,49.805435,she
453,7.475528,-1.2869228,wrestled
454,13.941402,-10.578841,a
455,13.978809,-34.607704,screaming
456,-27.855844,70.082214,dudley
457,15.3672695,3.801183,into
458,-2.1780336,51.692303,his
459,37.02307,34.907932,high
460,37.494762,34.79441,chair
461,-37.0951,-70.17577,.
462,-34.057487,16.487354,none
463,10.52582,22.537716,of
464,-6.4264536,26.80791,them
465,-8.739774,3.4456782,noticed
466,14.2825365,-12.019899,a
467,29.401075,-4.8373704,large
468,-72.90248,-23.196543,","
469,38.792988,-19.096195,ta
470,38.79708,-19.035582,##wny
471,38.971268,-16.975687,owl
472,36.535984,-18.037066,flutter
473,35.72131,-17.736292,past
474,58.523335,4.243268,the
475,49.503956,24.029484,window
476,-37.090282,-70.179276,.
477,-0.09644802,-23.184711,at
478,26.060946,32.23696,half
479,26.133026,32.279423,past
480,25.520163,32.22958,eight
481,-61.53665,-37.80019,","
482,41.927616,53.43851,mr
483,-57.45819,52.004868,.
484,31.928316,-70.58395,du
485,41.932228,-61.91287,##rs
486,56.325703,-35.842194,##ley
487,12.07686,27.346928,picked
488,40.17128,-2.2645047,up
489,-1.760871,49.23068,his
490,45.157085,15.831758,briefcase
491,-63.481117,-29.473808,","
492,-54.92174,36.887493,peck
493,-5.5443554,-73.82809,[SEP]
494,10.634208,76.88623,[CLS]
495,4.9871573,63.101536,ed
496,37.50572,55.91926,mrs
497,-59.21341,52.497864,.
498,31.312836,-70.7703,du
499,42.126167,-62.37614,##rs
500,55.700584,-34.538563,##ley
501,61.236156,-12.32449,on
502,60.632057,-9.771773,the
503,14.926916,23.079535,cheek
504,-63.742626,-31.887627,","
505,-59.294857,4.335974,and
506,-18.6017,11.860773,tried
507,-19.120039,11.344752,to
508,14.476381,23.24685,kiss
509,-29.907484,69.39905,dudley
510,-16.771584,-26.292904,good
511,23.661045,-53.00825,-
512,-16.749046,-26.331846,bye
513,-56.448036,-6.3927627,but
514,-17.313036,12.911482,missed
515,-63.4694,-36.76602,","
516,-50.636627,-3.002386,because
517,-29.956215,69.433784,dudley
518,-22.091543,27.588839,was
519,-27.023653,33.44044,now
520,8.234482,-5.009349,having
521,8.323054,-5.2736444,a
522,5.816424,37.890755,tan
523,6.087924,37.51628,##trum
524,-61.976658,6.1931686,and
525,8.162038,-4.7320027,throwing
526,-1.3584031,51.58635,his
527,34.175846,17.060251,cereal
528,3.0663528,-21.929005,at
529,56.333168,3.4771001,the
530,46.529247,24.433027,walls
531,-29.735664,-71.13573,.
532,-21.52582,-37.004696,""""
533,3.2277954,48.041557,little
534,44.2197,-33.78027,ty
535,3.088467,48.448803,##ke
536,-54.357033,-24.389992,","
537,-3.2129438,-55.31622,""""
538,17.692245,-36.500942,cho
539,17.72391,-36.475067,##rt
540,15.275517,-47.339615,##led
541,41.944687,53.850063,mr
542,-57.979782,52.301056,.
543,31.979002,-70.49839,du
544,42.44507,-61.93614,##rs
545,55.838215,-36.12322,##ley
546,-44.974552,-2.6054823,as
547,-16.888563,48.96422,he
548,2.558346,30.211647,left
549,60.075397,3.6803563,the
550,43.633274,31.781559,house
551,-29.735815,-71.13285,.
552,-16.67297,49.134804,he
553,6.7910237,29.798468,got
554,21.531147,6.896561,into
555,-11.664205,56.533607,his
556,35.50508,28.312412,car
557,-63.083538,3.259573,and
558,6.6285286,29.574718,backed
559,23.51271,-5.3331413,out
560,23.452492,-5.3405175,of
561,50.531845,16.62258,number
562,31.67078,8.120705,four
563,16.850552,54.31768,'
564,16.907843,54.336746,s
565,38.803585,27.661318,drive
566,-29.734938,-71.134575,.
567,-25.983376,-6.7963634,it
568,-26.199411,-6.7808533,was
569,16.305754,10.340642,on
570,59.492954,-1.1203928,the
571,40.988743,23.23267,corner
572,20.787603,-7.6329722,of
573,59.483303,-0.5222215,the
574,40.052197,25.480959,street
575,-25.592646,-19.176977,that
576,-16.404938,49.691917,he
577,-8.318353,4.0575204,noticed
578,56.744354,-4.462445,the
579,-2.5591593,-15.890405,first
580,-1.6518234,-14.566734,sign
581,19.113644,-11.483877,of
582,-5.018826,-13.922821,something
583,-4.848176,-13.774456,peculiar
584,14.422181,-71.38211,-
585,18.360542,-57.108044,-
586,14.072893,-11.901744,a
587,49.31401,-16.981417,cat
588,2.0549648,2.75583,reading
589,12.593786,-9.66597,a
590,39.02467,15.001763,map
591,-37.545906,-56.73451,.
592,-1.3192556,-28.00046,for
593,-1.3654746,-27.922934,a
594,-2.0278592,-28.155903,second
595,-61.112404,-34.5335,","
596,42.0927,53.867596,mr
597,-57.461388,52.22934,.
598,32.11738,-70.32691,du
599,42.460297,-61.834816,##rs
600,55.881226,-36.393562,##ley
601,-36.562893,23.984207,didn
602,-20.487123,-73.01578,'
603,-37.072098,23.858408,t
604,-9.66581,3.0853658,realize
605,-13.948222,-18.777618,what
606,-14.480385,46.007423,he
607,-31.385382,39.626705,had
608,-7.847849,4.4341664,seen
609,14.640323,-71.289925,-
610,17.696917,-59.445747,-
611,-48.669334,4.741272,then
612,-14.241684,45.81787,he
613,9.633733,-28.346008,jerked
614,-12.116629,55.103313,his
615,14.183368,20.716213,head
616,13.843788,20.77466,around
617,-19.97947,9.012393,to
618,-12.248704,3.3331587,look
619,-12.961263,3.0252137,again
620,-62.240444,29.463764,.
621,-20.275906,21.521639,there
622,-20.337679,21.790607,was
623,14.008759,-11.923446,a
624,51.057384,-21.721878,tab
625,49.188026,-21.035519,##by
626,-55.15455,35.39799,cat
627,0.4355269,-76.3209,[SEP]
628,9.211796,75.73549,[CLS]
629,7.0629454,7.234584,standing
630,15.500099,10.498181,on
631,59.081795,-1.5416164,the
632,40.988163,23.217588,corner
633,20.872938,-7.3284764,of
634,41.914455,-30.04499,pri
635,41.708668,-27.417236,##vet
636,39.385487,27.87386,drive
637,-63.417393,-31.644323,","
638,-55.070435,-7.493067,but
639,-25.147686,19.985607,there
640,-25.051958,20.163374,wasn
641,-17.915735,-74.64995,'
642,-39.760437,22.188028,t
643,8.621257,-8.290991,a
644,39.03424,14.987316,map
645,18.95675,6.6687617,in
646,8.436019,-8.069346,sight
647,-36.415638,-63.283077,.
648,-14.689455,-18.968933,what
649,-34.25926,3.8696856,could
650,-8.70781,45.26882,he
651,-35.72675,45.089897,have
652,-18.618044,17.414877,been
653,-12.255224,14.453251,thinking
654,17.954931,-11.292779,of
655,-77.03628,-2.5548034,?
656,-22.457903,-8.006871,it
657,-34.909668,5.941342,must
658,-35.61597,45.268333,have
659,-20.960163,-6.3985047,been
660,6.2048836,-11.284876,a
661,5.929406,-11.657359,trick
662,20.457842,-11.432551,of
663,59.08197,-1.8561994,the
664,23.874693,-15.883387,light
665,-36.426556,-63.240482,.
666,42.004402,53.953255,mr
667,-57.321564,52.393112,.
668,31.67188,-70.43344,du
669,42.740273,-61.31673,##rs
670,56.124683,-36.29454,##ley
671,7.754852,-27.938967,blinked
672,-63.389023,3.8403022,and
673,9.493674,27.464546,stared
674,3.2871413,-20.458584,at
675,49.86308,-8.090255,the
676,49.527782,-16.625908,cat
677,-62.370083,26.816195,.
678,49.328,-10.745645,it
679,5.401778,-25.832775,stared
680,5.293325,-25.756914,back
681,-36.405975,-63.328037,.
682,-44.549515,-1.8572031,as
683,42.073055,54.290924,mr
684,-57.13915,52.535275,.
685,32.158443,-70.22558,du
686,42.789845,-61.14464,##rs
687,56.079426,-36.566864,##ley
688,33.38441,29.257496,drove
689,13.388168,6.2919683,around
690,59.892715,-0.7667939,the
691,41.035793,23.21039,corner
692,-62.429375,2.7981317,and
693,8.236455,19.61628,up
694,59.93602,-0.52710503,the
695,39.1525,26.273523,road
696,-61.07363,-36.286343,","
697,-15.320985,48.56882,he
698,10.057431,26.68696,watched
699,49.851624,-8.301686,the
700,49.494366,-16.677505,cat
701,19.86052,5.579363,in
702,-11.704648,55.609913,his
703,35.218384,30.469265,mirror
704,-36.444,-63.11388,.
705,49.233143,-10.905864,it
706,-21.524982,26.357288,was
707,-27.084263,33.326942,now
708,1.9591503,2.7030323,reading
709,51.5,-0.7309593,the
710,40.24995,14.739804,sign
711,-26.79678,-17.888618,that
712,8.6737795,-44.32674,said
713,41.94293,-30.099926,pri
714,41.69513,-27.407873,##vet
715,39.351967,27.922983,drive
716,13.605796,-70.98729,-
717,18.360567,-57.904007,-
718,-27.823679,-33.77534,no
719,-58.92081,-30.815062,","
720,1.8221225,2.6541488,looking
721,2.266924,-19.520504,at
722,51.428993,-0.7160979,the
723,40.214817,14.762916,sign
724,-68.45808,-9.80778,;
725,49.089024,-17.523668,cats
726,-46.35724,24.244637,couldn
727,-17.843504,-74.564964,'
728,-46.278236,24.107466,t
729,-5.4163566,0.26272163,read
730,39.52415,15.020346,maps
731,-62.939613,-4.664027,or
732,39.816887,14.939934,signs
733,-39.56806,-53.58261,.
734,42.296143,54.08645,mr
735,-57.107563,52.458553,.
736,32.20941,-70.15252,du
737,42.712044,-61.148964,##rs
738,56.08369,-36.611927,##ley
739,8.123854,32.23397,gave
740,-14.545291,54.582462,himself
741,13.231558,-20.370926,a
742,13.284609,-20.345936,little
743,13.324421,-20.35032,shake
744,-63.420834,3.52374,and
745,8.266897,31.126238,put
746,50.07454,-7.947625,the
747,49.60723,-16.507189,cat
748,23.62132,-10.894861,out
749,23.60134,-10.885168,of
750,-12.1410265,55.016876,his
751,-11.078818,15.34481,mind
752,-36.467796,-63.09929,.
753,-44.465797,-1.7208279,as
754,-17.47858,48.534466,he
755,33.294308,29.270168,drove
756,7.4345026,21.558205,toward
757,42.801292,21.819296,town
758,-57.175705,34.332233,he
759,0.8407648,-77.44204,[SEP]
760,10.011829,76.04456,[CLS]
761,7.7358303,65.94491,thought
762,17.96581,-11.30353,of
763,-10.804196,-11.79818,nothing
764,-49.331867,-6.2089057,except
765,10.335345,-8.225869,a
766,30.313904,-4.734753,large
767,5.035628,5.539775,order
768,17.528185,-7.8853745,of
769,28.802412,17.304499,drills
770,-16.208635,50.041374,he
771,-23.611341,27.415472,was
772,-28.243721,8.655002,hoping
773,-21.192883,7.8940096,to
774,-5.7392693,-1.0326499,get
775,-9.638851,32.430317,that
776,23.664906,37.67562,day
777,-24.780573,-63.37655,.
778,-54.741062,-7.9359007,but
779,15.833585,10.415125,on
780,58.890835,-2.3521752,the
781,40.06023,22.118765,edge
782,20.472862,-8.052528,of
783,42.77982,21.839203,town
784,-60.364124,-47.74597,","
785,28.756441,17.301863,drills
786,-13.504793,22.228094,were
787,-13.335553,22.126545,driven
788,23.728981,-10.735844,out
789,23.695734,-10.706607,of
790,-12.803686,54.4912,his
791,-11.014101,15.366866,mind
792,3.880729,-8.761351,by
793,-7.1393776,-14.854107,something
794,-7.092042,-14.948376,else
795,-24.789219,-63.381107,.
796,-44.554104,-1.8361713,as
797,-16.756804,50.106003,he
798,33.239643,29.657984,sat
799,20.347593,7.4115257,in
800,60.600372,-0.30873364,the
801,22.96526,33.082016,usual
802,24.03999,36.173233,morning
803,37.705208,25.24396,traffic
804,37.5032,25.027994,jam
805,-56.993958,-52.081703,","
806,-16.37602,50.493423,he
807,-36.314003,27.372047,couldn
808,-20.557966,-74.487305,'
809,-38.48391,25.121553,t
810,-32.027817,13.528757,help
811,-8.430507,4.0515394,noticing
812,-24.20905,-19.490309,that
813,6.5047445,-13.209286,there
814,-29.370459,23.774467,seemed
815,-23.468615,8.51236,to
816,6.4354057,-13.218397,be
817,7.9218216,-13.013368,a
818,5.153535,-13.809716,lot
819,17.504337,-8.957278,of
820,-3.0084429,-11.577292,strangely
821,23.419233,12.72498,dressed
822,-3.1277225,17.927942,people
823,6.2586575,-13.235826,about
824,-65.13795,26.466496,.
825,-3.179151,17.909409,people
826,21.40008,2.0083864,in
827,26.412775,28.118282,cloak
828,25.588099,10.908579,##s
829,-65.166595,26.61933,.
830,41.483532,53.516254,mr
831,-57.70695,51.99405,.
832,33.2755,-71.9207,du
833,43.44562,-62.85519,##rs
834,55.369728,-35.20348,##ley
835,-39.622093,27.055794,couldn
836,-20.503231,-74.494316,'
837,-39.69675,26.904867,t
838,-18.650055,-11.627016,bear
839,-3.4966826,17.76791,people
840,-4.320558,16.235262,who
841,23.69527,12.842643,dressed
842,21.532728,2.3087502,in
843,-3.0424268,-9.881563,funny
844,24.227568,13.019326,clothes
845,13.797306,-70.992744,-
846,18.979118,-57.799187,-
847,53.33822,-5.631553,the
848,23.816957,12.423445,get
849,24.065004,12.669028,##ups
850,-41.44536,-21.525068,you
851,-3.1288426,14.487662,saw
852,12.416722,11.883061,on
853,18.451496,27.581608,young
854,-3.975143,18.136597,people
855,0.071320355,-42.161278,!
856,-16.189392,50.744747,he
857,-30.268229,29.12171,supposed
858,-15.235012,-9.6456175,this
859,-26.336962,23.525896,was
860,-0.88292384,-10.956656,some
861,-1.5437838,-9.244496,stupid
862,24.003284,24.773018,new
863,0.94518685,14.153807,fashion
864,-65.14706,30.239521,.
865,-17.334997,48.596382,he
866,9.5290365,32.138454,drum
867,9.547848,32.069187,##med
868,-12.49232,55.917515,his
869,9.540258,32.148083,fingers
870,15.173942,14.098079,on
871,62.621574,1.3740529,the
872,34.90827,30.163292,steering
873,34.929638,30.156595,wheel
874,-64.14196,2.6059015,and
875,-54.977943,38.336727,h
876,-5.6076236,-73.81082,[SEP]
877,10.833462,75.73266,[CLS]
878,2.44968,55.07092,is
879,21.493084,18.024632,eyes
880,21.075657,18.1198,fell
881,13.8461275,14.39206,on
882,12.22164,-11.649442,a
883,-1.5067958,20.367746,hu
884,-1.6451993,20.443144,##ddle
